Date,Price,Close_fin,Close_IT,Close_Energy,Close_FMCG,Close_Auto
31/10/2012,5619.70,4709.55,6032.45,7874.20,14613.10,4324.15
01/11/2012,5645.05,4624.60,6066.10,7802.25,14550.50,4263.70
02/11/2012,5697.70,4663.00,6087.85,7785.65,14523.50,4329.40
05/11/2012,5704.20,4683.60,6101.85,7785.00,14414.15,4427.65
06/11/2012,5724.40,4727.20,6163.45,7828.30,14502.25,4488.70
07/11/2012,5760.10,4738.15,6144.20,7807.90,14670.15,4463.85
08/11/2012,5738.75,4770.80,6139.50,7837.10,14687.85,4445.00
09/11/2012,5686.25,4828.40,6192.75,7811.15,14753.05,4478.00
12/11/2012,5683.70,4800.35,6163.05,7758.80,14782.20,4515.00
13/11/2012,5666.95,4752.95,6110.45,7660.85,14744.65,4495.25
15/11/2012,5631.00,4789.05,6138.65,7640.85,14838.95,4490.85
16/11/2012,5574.05,4763.30,6106.10,7660.90,14893.45,4478.55
19/11/2012,5571.40,4776.40,6000.50,7631.85,14713.95,4441.05
20/11/2012,5571.55,4690.55,6030.50,7575.55,14510.35,4374.10
21/11/2012,5614.80,4660.15,6013.85,7550.30,14644.85,4413.70
22/11/2012,5627.75,4691.30,5990.85,7509.55,14620.30,4439.80
23/11/2012,5626.60,4730.05,6043.60,7518.25,14821.65,4437.45
26/11/2012,5635.90,4740.55,6087.95,7492.15,14905.90,4428.95
27/11/2012,5727.45,4738.75,6099.10,7507.05,14915.45,4443.50
29/11/2012,5825.00,4723.80,6174.45,7501.30,15091.70,4434.50
30/11/2012,5879.85,4820.25,6252.30,7569.90,15417.65,4480.65
03/12/2012,5870.95,4958.40,6226.60,7671.95,15586.25,4566.95
04/12/2012,5889.25,5045.65,6263.25,7740.30,15551.85,4556.00
05/12/2012,5900.50,5017.35,6269.85,7763.25,15514.75,4568.45
06/12/2012,5930.90,5053.70,6233.85,7896.85,15530.55,4550.65
07/12/2012,5907.40,5075.20,6149.45,7932.35,15550.05,4554.40
10/12/2012,5908.90,5131.05,6063.70,8007.25,15635.35,4592.10
11/12/2012,5898.80,5106.85,6006.25,7954.75,15610.30,4618.15
12/12/2012,5888.00,5139.55,5969.45,7896.95,15679.25,4604.30
13/12/2012,5851.50,5142.70,5917.60,7817.90,15795.70,4605.00
14/12/2012,5879.60,5114.25,5935.95,7828.20,15778.10,4647.40
17/12/2012,5857.90,5096.75,5909.50,7828.65,15355.15,4685.55
18/12/2012,5896.80,5135.45,5947.75,7851.20,15368.85,4714.30
19/12/2012,5929.60,5112.70,5877.20,7828.80,15283.60,4744.60
20/12/2012,5916.40,5146.50,5902.20,7822.75,15334.35,4769.40
21/12/2012,5847.70,5138.95,5976.25,7900.45,15264.90,4847.30
24/12/2012,5855.75,5122.90,5994.95,7879.55,15282.85,4814.20
26/12/2012,5905.60,5065.95,5981.30,7763.05,15193.90,4752.90
27/12/2012,5870.10,5069.60,6037.25,7735.45,15222.35,4773.95
28/12/2012,5908.35,5129.80,6023.60,7805.25,15305.05,4792.60
31/12/2012,5905.10,5110.95,5967.65,7741.15,15178.00,4783.55
01/01/2013,5950.85,5124.65,6044.25,7902.75,15237.65,4801.50
02/01/2013,5993.25,5117.40,6024.95,7927.40,15175.25,4830.55
03/01/2013,6009.50,5174.95,6033.30,7932.45,15259.20,4869.50
04/01/2013,6016.15,5237.60,6031.00,8022.95,15225.45,4911.30
07/01/2013,5988.40,5238.95,6097.60,8110.45,15172.25,4905.35
08/01/2013,6001.70,5237.60,6153.20,8183.50,15134.35,4892.90
09/01/2013,5971.50,5188.30,6175.45,8174.70,14966.90,4913.20
10/01/2013,5968.65,5211.85,6147.90,8164.45,15148.60,4915.30
11/01/2013,5951.30,5191.35,6101.05,8186.15,14918.85,4951.75
14/01/2013,6024.05,5207.70,6073.10,8192.70,14947.60,4970.90
15/01/2013,6056.60,5125.30,6639.85,8069.45,14582.75,4908.35
16/01/2013,6001.85,5187.30,6809.50,8170.85,14737.55,4882.10
17/01/2013,6039.20,5210.35,6791.50,8213.05,14852.35,4903.25
18/01/2013,6064.40,5131.30,6777.95,8244.00,14815.30,4784.05
21/01/2013,6082.30,5119.50,6869.45,8458.05,14806.00,4806.60
22/01/2013,6048.50,5153.15,6798.70,8711.35,14818.85,4778.25
23/01/2013,6054.30,5139.60,6789.40,8798.00,14992.15,4765.10
24/01/2013,6019.35,5111.55,6739.65,8756.25,14802.95,4739.30
25/01/2013,6074.65,5134.30,6725.80,8726.25,14785.15,4699.60
28/01/2013,6074.80,5085.60,6742.40,8638.55,14910.15,4579.90
29/01/2013,6049.90,5132.45,6800.75,8654.25,15056.60,4679.05
30/01/2013,6055.75,5158.80,6822.70,8565.90,15082.75,4723.25
31/01/2013,6034.75,5147.15,6792.30,8470.85,15166.10,4680.80
01/02/2013,5998.90,5152.85,6787.85,8532.60,15176.45,4658.55
04/02/2013,5987.25,5112.85,6778.00,8482.65,15265.35,4649.90
05/02/2013,5956.90,5063.60,6752.65,8505.40,15302.60,4591.05
06/02/2013,5959.20,5086.35,6750.25,8410.50,15257.70,4628.15
07/02/2013,5938.80,5059.05,6728.70,8344.00,15069.75,4611.95
08/02/2013,5903.50,5061.20,6766.80,8329.25,15133.25,4605.50
11/02/2013,5897.85,5049.25,6799.00,8261.55,15119.15,4615.10
12/02/2013,5922.50,5022.85,6852.70,8166.25,14989.55,4566.05
13/02/2013,5932.95,5018.80,6832.05,8170.65,14950.15,4571.20
14/02/2013,5896.95,5031.40,6791.90,8261.45,14997.80,4611.75
15/02/2013,5887.40,5047.00,6884.15,8252.80,14916.05,4628.00
18/02/2013,5898.20,5012.60,6900.35,8124.40,14977.05,4567.15
19/02/2013,5939.70,5020.25,6864.15,8074.05,14978.80,4585.35
20/02/2013,5943.05,5043.30,6834.70,8080.90,15036.00,4586.20
21/02/2013,5852.25,5065.95,6936.25,8151.90,15150.90,4627.90
22/02/2013,5850.30,5046.20,6972.05,8271.55,15089.15,4619.65
25/02/2013,5854.75,4938.60,6939.85,8156.15,14882.90,4550.80
26/02/2013,5761.35,4922.50,6992.85,8189.50,14665.25,4526.80
27/02/2013,5796.90,4928.25,7095.20,8128.30,14634.85,4563.65
28/02/2013,5693.05,4818.75,7156.75,7912.80,14545.60,4436.05
01/03/2013,5719.70,4855.00,7072.50,7991.50,14669.85,4469.55
04/03/2013,5698.50,4685.35,7106.65,7828.95,14594.25,4424.80
05/03/2013,5784.25,4718.95,7117.70,7850.80,14631.45,4481.60
06/03/2013,5818.60,4723.85,7101.65,7838.00,14580.60,4454.25
07/03/2013,5863.30,4798.60,7200.20,7948.45,14703.10,4531.05
08/03/2013,5945.70,4835.00,7305.90,7995.40,14516.20,4546.60
11/03/2013,5942.35,4876.35,7410.25,8006.45,14645.15,4578.00
12/03/2013,5914.10,4988.45,7357.00,8150.70,14891.25,4601.25
13/03/2013,5851.20,4993.50,7304.60,8138.55,14915.60,4578.85
14/03/2013,5908.95,4942.55,7253.20,8106.05,14981.20,4584.60
15/03/2013,5872.60,4834.25,7170.40,8037.05,15052.15,4520.85
18/03/2013,5835.25,4920.10,7212.40,8124.20,15117.10,4534.75
19/03/2013,5745.95,4867.10,7224.35,8038.40,15127.30,4498.60
20/03/2013,5694.40,4829.30,7198.65,7960.15,15245.80,4438.55
21/03/2013,5658.75,4721.95,7152.55,7851.40,15200.65,4375.45
22/03/2013,5651.35,4628.65,7158.25,7744.55,15257.25,4373.20
25/03/2013,5633.85,4644.85,7168.05,7629.90,15145.35,4283.10
26/03/2013,5641.60,4638.20,7119.80,7617.15,15128.05,4284.95
28/03/2013,5682.55,4629.60,7105.95,7659.95,15054.15,4247.90
01/04/2013,5704.40,4667.30,7137.05,7532.70,15240.20,4258.65
02/04/2013,5748.10,4732.25,7219.05,7551.50,15321.90,4224.60
03/04/2013,5672.90,4749.50,7264.35,7595.55,15323.75,4195.00
04/04/2013,5574.75,4764.40,7325.25,7722.10,15321.90,4210.85
05/04/2013,5553.25,4703.85,7271.90,7616.65,15289.75,4111.50
08/04/2013,5542.95,4615.25,7072.70,7534.70,15051.30,4092.90
09/04/2013,5495.10,4578.65,7047.35,7611.45,14826.60,4116.45
10/04/2013,5558.70,4543.25,6977.10,7652.20,14945.60,4134.10
11/04/2013,5594.00,4513.15,6905.70,7541.85,14717.50,4140.15
12/04/2013,5528.55,4613.45,7042.95,7568.65,14634.25,4174.50
15/04/2013,5568.40,4639.45,7200.35,7526.80,14697.35,4206.90
16/04/2013,5688.95,4674.10,6354.90,7579.30,14977.75,4180.55
17/04/2013,5688.70,4711.70,6342.70,7711.10,15162.05,4143.10
18/04/2013,5783.10,4860.15,6301.10,7869.75,15455.70,4245.05
22/04/2013,5834.40,4871.95,6235.85,7714.80,15649.60,4298.20
23/04/2013,5836.90,5000.55,6232.60,7809.15,15710.35,4397.75
25/04/2013,5916.30,5102.95,6118.25,7857.35,15788.65,4423.60
26/04/2013,5871.45,5096.50,6156.90,7896.80,15769.10,4424.30
29/04/2013,5904.10,5191.10,6059.80,8027.50,15861.65,4542.10
30/04/2013,5930.20,5151.00,5972.70,7903.30,15751.10,4574.75
02/05/2013,5999.35,5157.75,6015.45,7950.45,16115.30,4605.15
03/05/2013,5944.00,5123.70,6047.70,7935.10,16815.95,4632.45
06/05/2013,5971.05,5196.95,6205.90,8024.85,16988.40,4647.70
07/05/2013,6043.55,5083.30,6224.70,7939.05,16903.65,4589.35
08/05/2013,6069.30,5079.55,6343.25,8016.75,16779.55,4658.20
09/05/2013,6050.15,5162.65,6372.75,8060.55,17119.60,4705.70
10/05/2013,6094.75,5210.50,6380.15,8065.00,17337.25,4687.10
11/05/2013,6107.25,5185.70,6426.45,8017.80,17347.20,4675.65
13/05/2013,5980.45,5222.95,6439.85,8019.45,17625.85,4776.75
14/05/2013,5995.40,5226.80,6419.00,8034.50,17668.55,4771.20
15/05/2013,6146.75,5146.25,6316.00,7906.65,17133.75,4675.00
16/05/2013,6169.90,5161.85,6328.05,7935.70,17124.50,4675.90
17/05/2013,6187.30,5366.70,6359.70,8090.65,17380.30,4788.30
20/05/2013,6156.90,5417.60,6292.15,8193.15,17233.10,4765.10
21/05/2013,6114.10,5440.80,6331.05,8217.15,17236.90,4761.00
22/05/2013,6094.50,5395.00,6358.75,8140.75,17152.85,4802.85
23/05/2013,5967.05,5363.55,6421.00,8044.70,17057.75,4729.80
24/05/2013,5983.55,5348.80,6420.20,7979.25,17220.35,4711.85
27/05/2013,6083.15,5231.75,6378.45,7729.40,17070.15,4637.60
28/05/2013,6111.25,5279.80,6330.80,7754.05,17093.80,4645.00
29/05/2013,6104.30,5367.45,6410.95,7972.50,17293.25,4669.35
30/05/2013,6124.05,5357.10,6431.60,8093.65,17424.30,4736.15
31/05/2013,5985.95,5320.05,6396.25,8098.45,17547.45,4752.25
03/06/2013,5939.30,5310.30,6390.40,8059.00,17884.55,4855.40
04/06/2013,5919.45,5157.65,6472.05,7852.10,17509.05,4769.05
05/06/2013,5923.85,5102.75,6551.65,7701.50,17412.75,4726.70
06/06/2013,5921.40,5048.40,6516.65,7701.35,17485.25,4706.75
07/06/2013,5881.00,5036.80,6474.00,7825.55,17394.70,4713.30
10/06/2013,5878.00,5063.40,6451.55,7750.00,17378.00,4713.15
11/06/2013,5788.80,5014.80,6540.05,7666.10,17315.10,4646.10
12/06/2013,5760.20,4991.75,6604.70,7690.45,17373.35,4619.60
13/06/2013,5699.10,4876.30,6550.95,7576.15,17251.95,4564.55
14/06/2013,5808.40,4849.90,6438.60,7599.40,17066.90,4535.45
17/06/2013,5850.05,4795.70,6334.60,7551.90,16872.20,4419.35
18/06/2013,5813.60,4909.35,6370.40,7721.85,17037.75,4543.20
19/06/2013,5822.25,4942.25,6423.20,7768.10,17123.05,4625.95
20/06/2013,5655.90,4891.50,6451.95,7710.50,17063.25,4617.90
21/06/2013,5667.65,4918.90,6435.10,7740.15,17061.20,4591.05
24/06/2013,5590.25,4736.60,6290.15,7487.75,16747.20,4512.70
25/06/2013,5609.10,4726.15,6381.85,7521.75,16696.35,4505.65
26/06/2013,5588.70,4672.90,6309.45,7432.90,16341.80,4439.75
27/06/2013,5682.35,4659.35,6268.85,7493.50,16425.25,4457.05
28/06/2013,5842.20,4623.00,6378.35,7519.30,16567.10,4379.90
01/07/2013,5898.85,4710.10,6587.15,7708.85,16564.45,4404.55
02/07/2013,5857.55,4882.00,6634.15,7998.50,16688.20,4539.45
